iter	Passed	Remaining
0	138	27610
1	144	14269
2	150	9881
3	156	7652
4	161	6309
5	167	5418
6	172	4766
7	178	4290
8	183	3893
9	189	3603
10	195	3352
11	202	3167
12	208	2999
13	214	2847
14	220	2715
15	225	2592
16	231	2486
17	236	2390
18	241	2303
19	246	2222
20	253	2158
21	258	2094
22	264	2033
23	270	1983
24	274	1924
25	280	1876
26	286	1833
27	291	1792
28	298	1760
29	303	1719
30	308	1679
31	314	1650
32	320	1620
33	325	1591
34	333	1570
35	339	1546
36	346	1525
37	352	1503
38	358	1481
39	364	1456
40	369	1434
41	375	1410
42	380	1389
43	386	1371
44	392	1351
45	397	1329
46	402	1310
47	408	1294
48	414	1278
49	421	1263
50	427	1247
51	432	1230
52	437	1213
53	443	1199
54	449	1186
55	458	1177
56	463	1163
57	469	1148
58	474	1134
59	480	1121
60	485	1107
61	490	1091
62	497	1081
63	502	1067
64	508	1055
65	514	1045
66	519	1031
67	525	1020
68	531	1008
69	537	997
70	542	985
71	548	975
72	554	964
73	561	955
74	567	946
75	573	935
76	577	922
77	584	913
78	588	901
79	594	891
80	599	880
81	604	870
82	610	860
83	616	850
84	621	840
85	625	829
86	630	819
87	635	808
88	640	798
89	646	790
90	651	780
91	655	769
92	660	759
93	665	750
94	670	740
95	675	732
96	681	723
97	686	714
98	692	706
99	697	697
100	702	688
101	707	679
102	712	670
103	718	663
104	723	654
105	728	646
106	734	638
107	738	629
108	743	620
109	748	612
110	753	604
111	758	595
112	763	588
113	767	579
114	772	571
115	778	563
116	784	556
117	787	547
118	792	539
119	796	530
120	801	523
121	806	515
122	811	508
123	816	500
124	821	493
125	825	484
126	830	477
127	835	469
128	840	462
129	845	455
130	849	447
131	854	440
132	859	432
133	863	425
134	868	418
135	873	411
136	878	403
137	883	396
138	887	389
139	893	382
140	896	375
141	902	368
142	908	362
143	913	355
144	918	348
145	924	341
146	928	334
147	934	328
148	938	321
149	944	314
150	948	307
151	953	301
152	958	294
153	963	287
154	967	280
155	973	274
156	978	267
157	983	261
158	988	254
159	993	248
160	997	241
161	1002	235
162	1008	228
163	1012	222
164	1018	216
165	1024	209
166	1028	203
167	1034	197
168	1039	190
169	1044	184
170	1049	177
171	1055	171
172	1059	165
173	1065	159
174	1069	152
175	1074	146
176	1079	140
177	1084	133
178	1089	127
179	1094	121
180	1099	115
181	1103	109
182	1107	102
183	1113	96
184	1118	90
185	1120	84
186	1124	78
187	1129	72
188	1133	65
189	1139	59
190	1144	53
191	1149	47
192	1155	41
193	1160	35
194	1165	29
195	1169	23
196	1176	17
197	1181	11
198	1185	5
199	1189	0
