Rk,Gtm,Date,At,Opp,Tm,Opp.1,OT,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%.1,TOV%.1,ORB%.1,FT/FGA.1,Win,Team,Season
1.0,1.0,2014-10-29,@,TOR,102.0,109.0,,107.4,114.8,95.0,0.213,0.275,0.583,53.3,65.0,6.3,12.5,0.581,17.8,23.8,0.113,0.456,8.7,33.3,0.3,0,ATL,2015
2.0,2.0,2014-11-01,,IND,102.0,92.0,,109.4,98.7,93.2,0.478,0.29,0.611,54.3,74.3,10.7,12.2,0.558,13.5,8.3,0.362,0.457,16.6,24.4,0.222,1,ATL,2015
3.0,3.0,2014-11-05,@,SAS,92.0,94.0,,95.8,97.9,96.0,0.12,0.272,0.475,57.5,68.4,14.6,9.6,0.457,12.6,20.4,0.087,0.486,19.7,28.9,0.391,0,ATL,2015
4.0,4.0,2014-11-07,@,CHO,119.0,122.0,2OT,103.7,106.3,95.0,0.28,0.355,0.57,57.3,65.1,7.0,3.9,0.532,15.4,14.9,0.215,0.526,16.2,26.2,0.206,0,ATL,2015
5.0,5.0,2014-11-08,,NYK,103.0,96.0,,115.2,107.3,89.4,0.444,0.272,0.532,51.8,54.5,11.2,7.9,0.463,8.5,27.9,0.346,0.524,14.4,31.0,0.095,1,ATL,2015
6.0,6.0,2014-11-10,@,NYK,91.0,85.0,,102.8,96.0,88.5,0.394,0.38,0.546,51.3,74.1,7.9,5.3,0.451,16.1,23.7,0.38,0.47,15.3,27.5,0.084,1,ATL,2015
7.0,7.0,2014-11-12,,UTA,100.0,97.0,,109.1,105.8,91.7,0.237,0.263,0.596,39.5,59.0,8.7,6.3,0.572,20.8,37.1,0.171,0.529,10.8,19.5,0.07,1,ATL,2015
8.0,8.0,2014-11-14,,MIA,114.0,103.0,,122.5,110.6,93.1,0.307,0.373,0.67,47.1,78.6,10.7,9.4,0.633,13.2,10.0,0.253,0.541,14.1,13.2,0.311,1,ATL,2015
9.0,9.0,2014-11-15,@,CLE,94.0,127.0,,95.6,129.1,98.4,0.144,0.244,0.491,56.0,65.0,6.1,13.6,0.461,16.6,23.9,0.122,0.65,12.8,31.6,0.111,0,ATL,2015
10.0,10.0,2014-11-18,,LAL,109.0,114.0,,118.8,124.3,91.7,0.271,0.318,0.573,53.7,53.7,7.6,4.3,0.535,10.4,29.5,0.212,0.575,10.2,34.2,0.161,0,ATL,2015
11.0,11.0,2014-11-21,,DET,99.0,89.0,,108.9,97.9,90.9,0.325,0.3,0.541,49.5,52.6,7.7,8.1,0.506,9.9,20.0,0.225,0.398,11.4,25.5,0.277,1,ATL,2015
12.0,12.0,2014-11-25,@,WAS,106.0,102.0,,109.8,105.7,96.5,0.4,0.294,0.53,52.2,47.2,16.6,9.4,0.465,9.9,27.9,0.318,0.482,17.1,34.0,0.25,1,ATL,2015
13.0,13.0,2014-11-26,,TOR,115.0,126.0,,123.2,135.0,93.3,0.293,0.293,0.621,52.9,73.8,2.1,7.5,0.573,13.1,26.5,0.256,0.598,10.2,32.4,0.341,0,ATL,2015
14.0,14.0,2014-11-28,,NOP,100.0,91.0,,111.9,101.8,89.4,0.289,0.224,0.584,50.0,68.4,6.7,10.8,0.533,17.4,29.7,0.25,0.444,11.1,34.0,0.135,1,ATL,2015
15.0,15.0,2014-11-29,,CHO,105.0,75.0,,116.8,83.4,89.9,0.213,0.307,0.64,46.3,77.5,8.9,7.7,0.613,14.6,16.7,0.173,0.358,11.2,25.0,0.136,1,ATL,2015
16.0,16.0,2014-12-02,,BOS,109.0,105.0,,109.1,105.1,99.9,0.171,0.293,0.618,57.5,83.7,8.0,13.1,0.591,15.4,10.8,0.146,0.56,20.4,25.0,0.131,1,ATL,2015
17.0,17.0,2014-12-03,@,MIA,112.0,102.0,,119.1,108.5,94.0,0.311,0.338,0.666,50.0,62.5,9.6,2.1,0.622,18.4,16.1,0.27,0.609,19.6,13.8,0.375,1,ATL,2015
18.0,18.0,2014-12-05,@,BRK,98.0,75.0,,102.0,78.0,96.1,0.296,0.42,0.535,52.6,62.9,12.5,6.5,0.512,10.7,12.5,0.185,0.394,17.7,18.4,0.15,1,ATL,2015
19.0,19.0,2014-12-07,,DEN,96.0,84.0,,103.8,90.8,92.5,0.218,0.31,0.503,54.7,72.2,9.7,6.9,0.471,11.2,23.4,0.161,0.398,12.4,33.3,0.108,1,ATL,2015
20.0,20.0,2014-12-08,@,IND,108.0,92.0,,109.4,93.2,98.7,0.351,0.273,0.608,47.2,67.5,11.1,12.3,0.578,15.3,15.0,0.247,0.494,15.7,16.3,0.107,1,ATL,2015
21.0,21.0,2014-12-10,,PHI,95.0,79.0,,101.7,84.6,93.4,0.143,0.33,0.491,42.9,68.4,16.1,2.1,0.473,15.7,33.3,0.099,0.458,18.1,16.3,0.181,1,ATL,2015
22.0,22.0,2014-12-12,,ORL,87.0,81.0,,93.0,86.6,93.6,0.346,0.372,0.484,52.3,82.8,12.8,5.9,0.429,11.8,11.9,0.256,0.448,18.4,19.6,0.156,1,ATL,2015
23.0,23.0,2014-12-13,@,ORL,99.0,100.0,,108.5,109.6,91.2,0.286,0.321,0.523,46.8,68.6,4.4,7.5,0.464,10.4,23.7,0.25,0.568,15.3,17.9,0.216,0,ATL,2015
24.0,24.0,2014-12-15,,CHI,93.0,86.0,,97.7,90.3,95.2,0.205,0.253,0.514,58.8,72.2,10.5,10.9,0.476,10.0,10.6,0.169,0.409,13.9,30.0,0.108,1,ATL,2015
25.0,25.0,2014-12-17,@,CLE,127.0,98.0,,146.1,112.7,86.9,0.211,0.368,0.765,45.2,73.5,3.5,9.6,0.75,9.8,20.7,0.171,0.5,9.0,22.7,0.195,1,ATL,2015
26.0,26.0,2014-12-20,@,HOU,104.0,97.0,,112.1,104.5,92.8,0.324,0.351,0.615,53.8,68.4,7.5,20.9,0.581,15.1,12.5,0.243,0.483,14.6,31.3,0.163,1,ATL,2015
27.0,27.0,2014-12-22,@,DAL,105.0,102.0,,104.5,101.5,100.5,0.333,0.235,0.565,52.2,65.0,6.0,9.7,0.537,15.5,15.0,0.222,0.494,13.2,26.0,0.144,1,ATL,2015
28.0,28.0,2014-12-23,,LAC,107.0,104.0,,113.1,110.0,94.6,0.461,0.303,0.585,54.3,82.4,6.3,4.8,0.526,13.3,20.5,0.355,0.462,8.7,32.0,0.207,1,ATL,2015
29.0,29.0,2014-12-26,,MIL,77.0,107.0,,80.3,111.6,95.8,0.184,0.303,0.469,51.3,64.5,8.3,6.7,0.434,21.9,19.0,0.145,0.557,14.4,16.7,0.241,0,ATL,2015
30.0,30.0,2014-12-27,@,MIL,90.0,85.0,,98.7,93.2,91.2,0.211,0.322,0.458,48.0,75.8,9.9,8.0,0.417,13.2,33.3,0.167,0.463,18.1,27.7,0.138,1,ATL,2015
31.0,31.0,2014-12-30,,CLE,109.0,101.0,,110.3,102.2,98.8,0.329,0.367,0.603,48.8,57.5,13.2,9.4,0.57,14.2,18.4,0.241,0.518,17.7,22.9,0.167,1,ATL,2015
32.0,32.0,2015-01-02,@,UTA,98.0,92.0,,108.1,101.5,90.6,0.37,0.284,0.52,50.0,72.7,9.9,5.5,0.444,10.5,26.8,0.321,0.43,12.7,32.1,0.209,1,ATL,2015
33.0,33.0,2015-01-03,@,POR,115.0,107.0,,113.2,105.3,101.6,0.369,0.202,0.589,48.9,39.5,8.9,8.3,0.548,12.5,23.3,0.274,0.522,15.5,23.4,0.108,1,ATL,2015
34.0,34.0,2015-01-05,@,LAC,107.0,98.0,,107.9,98.8,99.2,0.407,0.333,0.56,52.3,69.4,13.1,4.1,0.525,11.2,15.9,0.272,0.493,19.2,19.0,0.338,1,ATL,2015
35.0,35.0,2015-01-07,,MEM,96.0,86.0,,104.0,93.2,92.3,0.319,0.347,0.585,51.3,65.6,18.4,6.5,0.535,18.0,20.5,0.264,0.475,20.0,21.6,0.139,1,ATL,2015
36.0,36.0,2015-01-09,@,DET,106.0,103.0,,107.3,104.3,98.8,0.293,0.28,0.573,48.4,67.5,3.0,5.7,0.549,13.1,14.6,0.195,0.464,7.1,20.4,0.146,1,ATL,2015
